question,item,number_responses,perc,lab_perc
Do you expect EUR to support you in learning open science practices?,I don’t know/prefer not to answer,12,7.55,7.55%
Do you expect EUR to support you in learning open science practices?,No,19,11.95,11.95%
Do you expect EUR to support you in learning open science practices?,Yes,128,80.5,80.5%
Which of the following open science practices would you like EUR to provide information or support for?,I don’t know/prefer not to answer,1,0.63,0.63%
Which of the following open science practices would you like EUR to provide information or support for?,Open access publishing,98,61.64,61.64%
Which of the following open science practices would you like EUR to provide information or support for?,"Open data, materials, and/or code",16,10.06,10.06%
Which of the following open science practices would you like EUR to provide information or support for?,Open educational resources,7,4.4,4.4%
Which of the following open science practices would you like EUR to provide information or support for?,Open engagement of societal actors,4,2.52,2.52%
Which of the following open science practices would you like EUR to provide information or support for?,Preregistration,2,1.26,1.26%
Which of the following open science practices would you like EUR to provide information or support for?,NA,31,19.5,19.5%
What support services provided at EUR have you used to make your data FAIR?,"I am using available tools for FAIR data (e.g., EUR Data Repository)",6,3.77,3.77%
What support services provided at EUR have you used to make your data FAIR?,I attended a workshop on research data management,26,16.35,16.35%
What support services provided at EUR have you used to make your data FAIR?,I don't know/prefer not to answer,10,6.29,6.29%
What support services provided at EUR have you used to make your data FAIR?,"I got advice on FAIR data/research data management from an expert (e.g., research data steward)",8,5.03,5.03%
What support services provided at EUR have you used to make your data FAIR?,I looked up relevant information on the EUR website,9,5.66,5.66%
What support services provided at EUR have you used to make your data FAIR?,NA,100,62.89,62.89%
