question,item,number_responses,perc,lab_perc
"In your opinion, how important are open educational resources for your work?",Extremely important,25,15.72,15.72%
"In your opinion, how important are open educational resources for your work?",I don’t know/prefer not to answer,12,7.55,7.55%
"In your opinion, how important are open educational resources for your work?",Moderately important,36,22.64,22.64%
"In your opinion, how important are open educational resources for your work?",Not at all important,15,9.43,9.43%
"In your opinion, how important are open educational resources for your work?",Slightly important,22,13.84,13.84%
"In your opinion, how important are open educational resources for your work?",Very important,49,30.82,30.82%
What is your experience with using open educational resources developed by others?,"I am aware of open educational resources developed by others, but have not used them",41,25.79,25.79%
What is your experience with using open educational resources developed by others?,I don’t know/prefer not to answer,6,3.77,3.77%
What is your experience with using open educational resources developed by others?,"I have some experience with open educational resources developed by others, but do not use them regularly",61,38.36,38.36%
What is your experience with using open educational resources developed by others?,I regularly use open educational resources developed by others,23,14.47,14.47%
What is your experience with using open educational resources developed by others?,"Until now, I hadn't heard of open educational resources",28,17.61,17.61%
What is your experience with openly sharing educational resources that you developed?,"I am aware of open educational resources, but have not shared my own",75,47.17,47.17%
What is your experience with openly sharing educational resources that you developed?,I don’t know/prefer not to answer,13,8.18,8.18%
What is your experience with openly sharing educational resources that you developed?,"I have some experience with open educational resources, but do not share mine regularly",27,16.98,16.98%
What is your experience with openly sharing educational resources that you developed?,I regularly share open educational resources,13,8.18,8.18%
What is your experience with openly sharing educational resources that you developed?,"Until now, I hadn't heard of open educational resources",31,19.5,19.5%
The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,I do not share any of these concerns,32,20.13,20.13%
The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,I don't know where to share educational resources I have created,1,0.63,0.63%
The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,I don’t know/prefer not to answer,24,15.09,15.09%
The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,I might lose control over how my educational resources are being used,30,18.87,18.87%
The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,I might not receive appropriate credit for my educational resources if I make them openly available,17,10.69,10.69%
The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,"It might take too much time, effort, and resources",11,6.92,6.92%
The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,my data is often highly sensitive and hard to anonymise. sharing would violate ethical principles,1,0.63,0.63%
The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,Others might criticise my educational resources,10,6.29,6.29%
The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,Others might find errors in my educational resources,5,3.14,3.14%
The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,Others might find it difficult to understand my educational resources,11,6.92,6.92%
The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,Sharing educational resources could result in others asking me to provide assistance for their courses/workshops,10,6.29,6.29%
The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,There could be issues related to intellectual property,7,4.4,4.4%
