question,item,number_responses,perc,lab_perc
"In your opinion, how important is to have an open dialogue with society in your work?",Extremely important,44,27.67,27.67%
"In your opinion, how important is to have an open dialogue with society in your work?",I don’t know/prefer not to answer,4,2.52,2.52%
"In your opinion, how important is to have an open dialogue with society in your work?",Moderately important,35,22.01,22.01%
"In your opinion, how important is to have an open dialogue with society in your work?",Not at all important,7,4.4,4.4%
"In your opinion, how important is to have an open dialogue with society in your work?",Slightly important,12,7.55,7.55%
"In your opinion, how important is to have an open dialogue with society in your work?",Very important,57,35.85,35.85%
What is your experience engaging with society?,"I am aware of engaging with society, but have not done it",26,16.35,16.35%
What is your experience engaging with society?,I don’t know/prefer not to answer,4,2.52,2.52%
What is your experience engaging with society?,"I have some experience with engaging with society, but do not do it regularly",56,35.22,35.22%
What is your experience engaging with society?,I regularly engage with society,59,37.11,37.11%
What is your experience engaging with society?,"Until now, I was unaware of open engagement with societal actors",14,8.81,8.81%
The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,Designing the research might become too complex,6,3.77,3.77%
The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I do not share any of these concerns,34,21.38,21.38%
The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I don’t know/prefer not to answer,10,6.29,6.29%
The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I find it difficult to address certain issues in the media afraid of a backless from certain groups of people.,1,0.63,0.63%
The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,It is not relevant to my research,1,0.63,0.63%
The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might be difficult to manage expectations of some societal actors (e.g., citizens, politicians)",21,13.21,13.21%
The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",75,47.17,47.17%
The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,Most of the societies I engage with is past us.,1,0.63,0.63%
The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,Some societal actors might have ideas that are too difficult to implement,10,6.29,6.29%
