question,item,number_responses,perc,lab_perc
"In your opinion, how important is preregistration for your work?",Extremely important,9,5.66,5.66%
"In your opinion, how important is preregistration for your work?",I don’t know/prefer not to answer,11,6.92,6.92%
"In your opinion, how important is preregistration for your work?",Moderately important,39,24.53,24.53%
"In your opinion, how important is preregistration for your work?",Not at all important,51,32.08,32.08%
"In your opinion, how important is preregistration for your work?",Slightly important,20,12.58,12.58%
"In your opinion, how important is preregistration for your work?",Very important,29,18.24,18.24%
What is your experience with study preregistration?,"I am aware of study preregistration, but have not used it",54,33.96,33.96%
What is your experience with study preregistration?,I don’t know/prefer not to answer,8,5.03,5.03%
What is your experience with study preregistration?,"I have some experience with study preregistration, but do not use it regularly",36,22.64,22.64%
What is your experience with study preregistration?,I regularly preregister my studies,21,13.21,13.21%
What is your experience with study preregistration?,"Until now, I was unaware of study preregistration",40,25.16,25.16%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,I do not do research in which this is relevant.,1,0.63,0.63%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,I do not share any of these concerns,28,17.61,17.61%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,I don’t know/prefer not to answer,27,16.98,16.98%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,I need to look at my data before I can decide how to best analyse it,32,20.13,20.13%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,"It might take too much time, effort, and resources",9,5.66,5.66%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,"It presents a positivistic view of science that is v useful for quantitative, but less for qualitative research",1,0.63,0.63%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,Not applicable to my qualitative work!,1,0.63,0.63%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,Preregistration might delay data collection,29,18.24,18.24%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,Preregistration might lead to other people taking my research idea and implementing my plan,7,4.4,4.4%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,Preregistration might make it more difficult to publish in certain journals,2,1.26,1.26%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,Preregistration might work and may be the right thing to do for some type of studies but not for others.,1,0.63,0.63%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,Preregistration prevents exploratory research,11,6.92,6.92%
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,Preregistration stifles research creativity or flexibility,10,6.29,6.29%
