question,item,number_responses,perc,lab_perc
Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I do not undertake any Open Science activities,22,13.84,13.84%
Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,47,29.56,29.56%
Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,No,55,34.59,34.59%
Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,Yes,35,22.01,22.01%
In what way were you recognized and rewarded?,Freedom to choose and initiate my own projects,24,15.09,15.09%
In what way were you recognized and rewarded?,OA publications are recognized as relevant output,1,0.63,0.63%
In what way were you recognized and rewarded?,Praised by my colleagues/supervisor/manager,4,2.52,2.52%
In what way were you recognized and rewarded?,Republication of my community outreach articles,1,0.63,0.63%
In what way were you recognized and rewarded?,Trust from my colleagues/supervisor/manager,5,3.14,3.14%
In what way were you recognized and rewarded?,NA,124,77.99,77.99%
In what way do you expect to be recognized and rewarded?,Freedom to choose and initiate my own projects,21,13.21,13.21%
In what way do you expect to be recognized and rewarded?,"I do not really expect specific recognition or reward for 'open work', and indeed that recognition and reward is not present",1,0.63,0.63%
In what way do you expect to be recognized and rewarded?,I don't expect the eur to award,1,0.63,0.63%
In what way do you expect to be recognized and rewarded?,"If this is important, it should be recognized and rewarded. I don't really care how, but now there is no attention for these practices whatsoever.",1,0.63,0.63%
In what way do you expect to be recognized and rewarded?,More time for Open Science activities,19,11.95,11.95%
In what way do you expect to be recognized and rewarded?,"None, it should become common practice",1,0.63,0.63%
In what way do you expect to be recognized and rewarded?,Praise by my colleagues/supervisor/manager,3,1.89,1.89%
In what way do you expect to be recognized and rewarded?,Receive a promotion,2,1.26,1.26%
In what way do you expect to be recognized and rewarded?,Receive a salary raise,2,1.26,1.26%
In what way do you expect to be recognized and rewarded?,should be 'counted' just like articles. Especially given that data gets its own DOI,1,0.63,0.63%
In what way do you expect to be recognized and rewarded?,"To be honest, sharing data & methods is just a part of the publication cycle, no need for it to be rewarded separately",1,0.63,0.63%
In what way do you expect to be recognized and rewarded?,Trust from my colleagues/supervisor/manager,1,0.63,0.63%
In what way do you expect to be recognized and rewarded?,Value not just 'hard' academic output but also societal engagement,1,0.63,0.63%
In what way do you expect to be recognized and rewarded?,NA,104,65.41,65.41%
