School,Position,question,response,n
ESHPM,Assistant Professor,"In your opinion, how important are open educational resources for your work?",Extremely important,2
ESHPM,Assistant Professor,"In your opinion, how important are open educational resources for your work?",I don’t know/prefer not to answer,2
ESHPM,Assistant Professor,"In your opinion, how important are open educational resources for your work?",Moderately important,5
ESHPM,Assistant Professor,"In your opinion, how important are open educational resources for your work?",Not at all important,1
ESHPM,Assistant Professor,"In your opinion, how important are open educational resources for your work?",Slightly important,2
ESHPM,Assistant Professor,"In your opinion, how important are open educational resources for your work?",Very important,5
ESHPM,Assistant Professor,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,I do not share any of these concerns,6
ESHPM,Assistant Professor,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,I don’t know/prefer not to answer,2
ESHPM,Assistant Professor,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,I might lose control over how my educational resources are being used,2
ESHPM,Assistant Professor,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,I might not receive appropriate credit for my educational resources if I make them openly available,1
ESHPM,Assistant Professor,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,"It might take too much time, effort, and resources",2
ESHPM,Assistant Professor,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,Others might criticise my educational resources,1
ESHPM,Assistant Professor,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,Others might find it difficult to understand my educational resources,2
ESHPM,Assistant Professor,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,Sharing educational resources could result in others asking me to provide assistance for their courses/workshops,1
ESHPM,Assistant Professor,What is your experience with openly sharing educational resources that you developed?,"I am aware of open educational resources, but have not shared my own",8
ESHPM,Assistant Professor,What is your experience with openly sharing educational resources that you developed?,"I have some experience with open educational resources, but do not share mine regularly",5
ESHPM,Assistant Professor,What is your experience with openly sharing educational resources that you developed?,"Until now, I hadn't heard of open educational resources",4
ESHPM,Assistant Professor,What is your experience with using open educational resources developed by others?,"I am aware of open educational resources developed by others, but have not used them",4
ESHPM,Assistant Professor,What is your experience with using open educational resources developed by others?,"I have some experience with open educational resources developed by others, but do not use them regularly",6
ESHPM,Assistant Professor,What is your experience with using open educational resources developed by others?,I regularly use open educational resources developed by others,3
ESHPM,Assistant Professor,What is your experience with using open educational resources developed by others?,"Until now, I hadn't heard of open educational resources",4
ESHPM,Associate Professor,"In your opinion, how important are open educational resources for your work?",Moderately important,2
ESHPM,Associate Professor,"In your opinion, how important are open educational resources for your work?",Slightly important,3
ESHPM,Associate Professor,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,I do not share any of these concerns,1
ESHPM,Associate Professor,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,I don’t know/prefer not to answer,1
ESHPM,Associate Professor,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,I might lose control over how my educational resources are being used,1
ESHPM,Associate Professor,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,Sharing educational resources could result in others asking me to provide assistance for their courses/workshops,2
ESHPM,Associate Professor,What is your experience with openly sharing educational resources that you developed?,"I am aware of open educational resources, but have not shared my own",3
ESHPM,Associate Professor,What is your experience with openly sharing educational resources that you developed?,"I have some experience with open educational resources, but do not share mine regularly",1
ESHPM,Associate Professor,What is your experience with openly sharing educational resources that you developed?,"Until now, I hadn't heard of open educational resources",1
ESHPM,Associate Professor,What is your experience with using open educational resources developed by others?,"I am aware of open educational resources developed by others, but have not used them",2
ESHPM,Associate Professor,What is your experience with using open educational resources developed by others?,"I have some experience with open educational resources developed by others, but do not use them regularly",2
ESHPM,Associate Professor,What is your experience with using open educational resources developed by others?,"Until now, I hadn't heard of open educational resources",1
ESHPM,Full Professor,"In your opinion, how important are open educational resources for your work?",Moderately important,1
ESHPM,Full Professor,"In your opinion, how important are open educational resources for your work?",Not at all important,2
ESHPM,Full Professor,"In your opinion, how important are open educational resources for your work?",Slightly important,1
ESHPM,Full Professor,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,I might not receive appropriate credit for my educational resources if I make them openly available,1
ESHPM,Full Professor,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,"It might take too much time, effort, and resources",1
ESHPM,Full Professor,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,Other_my data is often highly sensitive and hard to anonymise. sharing would violate ethical principles,1
ESHPM,Full Professor,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,There could be issues related to intellectual property,1
ESHPM,Full Professor,What is your experience with openly sharing educational resources that you developed?,"I am aware of open educational resources, but have not shared my own",4
ESHPM,Full Professor,What is your experience with using open educational resources developed by others?,"I am aware of open educational resources developed by others, but have not used them",2
ESHPM,Full Professor,What is your experience with using open educational resources developed by others?,"I have some experience with open educational resources developed by others, but do not use them regularly",1
ESHPM,Full Professor,What is your experience with using open educational resources developed by others?,I regularly use open educational resources developed by others,1
ESHPM,PhD candidate,"In your opinion, how important are open educational resources for your work?",Extremely important,2
ESHPM,PhD candidate,"In your opinion, how important are open educational resources for your work?",I don’t know/prefer not to answer,1
ESHPM,PhD candidate,"In your opinion, how important are open educational resources for your work?",Moderately important,3
ESHPM,PhD candidate,"In your opinion, how important are open educational resources for your work?",Not at all important,2
ESHPM,PhD candidate,"In your opinion, how important are open educational resources for your work?",Very important,4
ESHPM,PhD candidate,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,I do not share any of these concerns,1
ESHPM,PhD candidate,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,I don’t know/prefer not to answer,4
ESHPM,PhD candidate,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,I might lose control over how my educational resources are being used,3
ESHPM,PhD candidate,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,I might not receive appropriate credit for my educational resources if I make them openly available,1
ESHPM,PhD candidate,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,"It might take too much time, effort, and resources",1
ESHPM,PhD candidate,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,Others might criticise my educational resources,1
ESHPM,PhD candidate,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,Others might find errors in my educational resources,1
ESHPM,PhD candidate,What is your experience with openly sharing educational resources that you developed?,"I am aware of open educational resources, but have not shared my own",6
ESHPM,PhD candidate,What is your experience with openly sharing educational resources that you developed?,I don’t know/prefer not to answer,3
