School,Position,question,response,n
ESHPM,Assistant Professor,"In your opinion, how important is Open Access for your work?",Extremely important,5
ESHPM,Assistant Professor,"In your opinion, how important is Open Access for your work?",Moderately important,9
ESHPM,Assistant Professor,"In your opinion, how important is Open Access for your work?",Not at all important,1
ESHPM,Assistant Professor,"In your opinion, how important is Open Access for your work?",Very important,2
ESHPM,Assistant Professor,Is there anything you want to share with us regarding your experiences with Open Access?,NA,17
ESHPM,Assistant Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals,1
ESHPM,Assistant Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,"Green OA (self-archiving): Availability of the pre-publication manuscript might highlight differences (e.g., errors in analysis, revisions to hypotheses) between the original conception of the research and the ultimately published work",1
ESHPM,Assistant Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Non-peer-reviewed findings might add noise to the literature,2
ESHPM,Assistant Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,13
ESHPM,Assistant Professor,What is your experience with Open Access?,I am aware of Open Access publishing but have not done it,1
ESHPM,Assistant Professor,What is your experience with Open Access?,I have extensive experience with Open Access publishing,8
ESHPM,Assistant Professor,What is your experience with Open Access?,I have some experience with Open Access publishing,8
ESHPM,Associate Professor,"In your opinion, how important is Open Access for your work?",Extremely important,1
ESHPM,Associate Professor,"In your opinion, how important is Open Access for your work?",Moderately important,2
ESHPM,Associate Professor,"In your opinion, how important is Open Access for your work?",Slightly important,1
ESHPM,Associate Professor,"In your opinion, how important is Open Access for your work?",Very important,1
ESHPM,Associate Professor,Is there anything you want to share with us regarding your experiences with Open Access?,NA,5
ESHPM,Associate Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Other people might copy my research and publish it before I do,1
ESHPM,Associate Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,3
ESHPM,Associate Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,I do not share any of these concerns,1
ESHPM,Associate Professor,What is your experience with Open Access?,I have extensive experience with Open Access publishing,3
ESHPM,Associate Professor,What is your experience with Open Access?,I have some experience with Open Access publishing,2
ESHPM,Full Professor,"In your opinion, how important is Open Access for your work?",Moderately important,1
ESHPM,Full Professor,"In your opinion, how important is Open Access for your work?",Slightly important,1
ESHPM,Full Professor,"In your opinion, how important is Open Access for your work?",Very important,2
ESHPM,Full Professor,Is there anything you want to share with us regarding your experiences with Open Access?,NA,4
ESHPM,Full Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Gold OA: Open Access journals might have lower quality articles,1
ESHPM,Full Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,2
ESHPM,Full Professor,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,I don’t know/prefer not to answer,1
ESHPM,Full Professor,What is your experience with Open Access?,I have extensive experience with Open Access publishing,2
ESHPM,Full Professor,What is your experience with Open Access?,I have some experience with Open Access publishing,2
ESHPM,PhD candidate,"In your opinion, how important is Open Access for your work?",Extremely important,4
ESHPM,PhD candidate,"In your opinion, how important is Open Access for your work?",Not at all important,1
ESHPM,PhD candidate,"In your opinion, how important is Open Access for your work?",Very important,7
ESHPM,PhD candidate,Is there anything you want to share with us regarding your experiences with Open Access?,NA,12
ESHPM,PhD candidate,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Gold OA: I might not have enough funding to pay Article Processing Charges for Open Access journals,1
ESHPM,PhD candidate,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,"Green OA (self-archiving): Availability of the pre-publication manuscript might highlight differences (e.g., errors in analysis, revisions to hypotheses) between the original conception of the research and the ultimately published work",1
ESHPM,PhD candidate,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Making my work available pre-publication might reduce the number of citations to the ultimately published work,1
ESHPM,PhD candidate,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Other people might copy my research and publish it before I do,2
ESHPM,PhD candidate,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,5
ESHPM,PhD candidate,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,I don’t know/prefer not to answer,2
ESHPM,PhD candidate,What is your experience with Open Access?,I am aware of Open Access publishing but have not done it,7
ESHPM,PhD candidate,What is your experience with Open Access?,I have some experience with Open Access publishing,4
ESHPM,PhD candidate,What is your experience with Open Access?,"Until now, I was unaware of Open Access publishing",1
ESHPM,Postdoc or researcher,"In your opinion, how important is Open Access for your work?",Extremely important,2
ESHPM,Postdoc or researcher,"In your opinion, how important is Open Access for your work?",Not at all important,1
ESHPM,Postdoc or researcher,"In your opinion, how important is Open Access for your work?",Very important,1
ESHPM,Postdoc or researcher,Is there anything you want to share with us regarding your experiences with Open Access?,NA,4
ESHPM,Postdoc or researcher,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Making my work available pre-publication might reduce the number of citations to the ultimately published work,1
ESHPM,Postdoc or researcher,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,2
