School,Position,question,response,n
ESHPM,Assistant Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Extremely important,4
ESHPM,Assistant Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Moderately important,4
ESHPM,Assistant Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Not at all important,1
ESHPM,Assistant Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Slightly important,2
ESHPM,Assistant Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Very important,6
ESHPM,Assistant Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I do not share any of these concerns,3
ESHPM,Assistant Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I don’t know/prefer not to answer,1
ESHPM,Assistant Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might be difficult to manage expectations of some societal actors (e.g., citizens, politicians)",4
ESHPM,Assistant Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",8
ESHPM,Assistant Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,Some societal actors might have ideas that are too difficult to implement,1
ESHPM,Assistant Professor,What is your experience engaging with society?,"I am aware of engaging with society, but have not done it",2
ESHPM,Assistant Professor,What is your experience engaging with society?,I don’t know/prefer not to answer,1
ESHPM,Assistant Professor,What is your experience engaging with society?,"I have some experience with engaging with society, but do not do it regularly",7
ESHPM,Assistant Professor,What is your experience engaging with society?,I regularly engage with society,6
ESHPM,Assistant Professor,What is your experience engaging with society?,"Until now, I was unaware of open engagement with societal actors",1
ESHPM,Associate Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Extremely important,1
ESHPM,Associate Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Moderately important,2
ESHPM,Associate Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Not at all important,1
ESHPM,Associate Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Very important,1
ESHPM,Associate Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,Designing the research might become too complex,1
ESHPM,Associate Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I do not share any of these concerns,1
ESHPM,Associate Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",2
ESHPM,Associate Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,Some societal actors might have ideas that are too difficult to implement,1
ESHPM,Associate Professor,What is your experience engaging with society?,"I have some experience with engaging with society, but do not do it regularly",1
ESHPM,Associate Professor,What is your experience engaging with society?,I regularly engage with society,3
ESHPM,Associate Professor,What is your experience engaging with society?,"Until now, I was unaware of open engagement with societal actors",1
ESHPM,Full Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Extremely important,1
ESHPM,Full Professor,"In your opinion, how important is to have an open dialogue with society in your work?",Moderately important,3
ESHPM,Full Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I do not share any of these concerns,1
ESHPM,Full Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might be difficult to manage expectations of some societal actors (e.g., citizens, politicians)",1
ESHPM,Full Professor,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",2
ESHPM,Full Professor,What is your experience engaging with society?,"I have some experience with engaging with society, but do not do it regularly",2
ESHPM,Full Professor,What is your experience engaging with society?,I regularly engage with society,2
ESHPM,PhD candidate,"In your opinion, how important is to have an open dialogue with society in your work?",Extremely important,4
ESHPM,PhD candidate,"In your opinion, how important is to have an open dialogue with society in your work?",Very important,8
ESHPM,PhD candidate,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,Designing the research might become too complex,1
ESHPM,PhD candidate,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I do not share any of these concerns,4
ESHPM,PhD candidate,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I don’t know/prefer not to answer,1
ESHPM,PhD candidate,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might be difficult to manage expectations of some societal actors (e.g., citizens, politicians)",2
ESHPM,PhD candidate,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",4
ESHPM,PhD candidate,What is your experience engaging with society?,"I am aware of engaging with society, but have not done it",1
ESHPM,PhD candidate,What is your experience engaging with society?,"I have some experience with engaging with society, but do not do it regularly",6
ESHPM,PhD candidate,What is your experience engaging with society?,I regularly engage with society,2
ESHPM,PhD candidate,What is your experience engaging with society?,"Until now, I was unaware of open engagement with societal actors",3
ESHPM,Postdoc or researcher,"In your opinion, how important is to have an open dialogue with society in your work?",Extremely important,1
ESHPM,Postdoc or researcher,"In your opinion, how important is to have an open dialogue with society in your work?",Moderately important,1
ESHPM,Postdoc or researcher,"In your opinion, how important is to have an open dialogue with society in your work?",Not at all important,1
ESHPM,Postdoc or researcher,"In your opinion, how important is to have an open dialogue with society in your work?",Very important,1
ESHPM,Postdoc or researcher,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,I do not share any of these concerns,1
ESHPM,Postdoc or researcher,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",3
